ra,dec,pmra,pmdec,parallax,bp_rp,phot_g_mean_mag
132.70635663691186,10.067045431604853,-10.726005144536881,-2.621150868840586,1.170944551233169,1.0705013,15.449436
132.70959031527664,10.198395804024788,-10.986817146619757,-2.5409388917472775,1.0707152535732878,1.7154102,17.273746
132.0275909809895,10.570960069647622,-10.53936300182183,-2.5289122771909143,1.125221120026389,0.82173157,14.36919
132.214685490715,10.537949833098574,-11.063250631479825,-2.992643814577805,1.3103380651778465,1.9057922,17.462372
132.89700173879393,10.368565761756589,-11.007672692678135,-2.829159121297066,1.1396325606547595,1.1633501,15.70884
133.34703015710028,10.83061660943306,-11.473347103791996,-2.8914965189422595,1.2774721850278727,1.8114185,17.469778
133.28468615762785,10.921559005921258,-11.22650814538073,-2.886928519735923,1.1848232295340935,1.133337,15.630439
133.29725323669726,10.934747273459607,-11.289565424893386,-2.9344313717727313,1.1001259277986923,1.2746506,16.0558
133.08381157393353,10.96716848811617,-10.684455335834265,-2.573730069596105,1.0567527161680947,0.95292187,15.091007
132.6364617663385,10.712031415169061,-10.854224049197608,-2.6533240844290775,1.0932209115525822,1.4790382,16.673532
132.71559225503546,10.905379354863028,-10.716794180550156,-3.4560593435069293,0.7405711702344699,1.2745743,17.028257
132.37241846550955,10.7755687185491,-10.807450767306507,-2.8382714237844913,1.1113374727851397,1.0815306,15.457058
132.32102903889978,10.87786171517763,-10.807003634334212,-2.5988256309762585,1.1136046171750595,1.0608273,15.398194
132.49816667241157,10.931765059112609,-10.696492011466784,-2.6617462354408334,1.0809411303374796,0.849206,14.346755
133.01209579315693,10.99249480884019,-10.787408661239727,-2.725105010668106,1.4013491362707753,1.8487091,17.128347
133.13939343431744,11.061185626704791,-11.327903918308449,-2.8348622307882705,1.1321288970654826,1.24646,15.973465
133.11426232404605,11.114141703949562,-10.666879798629811,-2.6065078229950833,1.0897574916967305,1.3119116,16.197899
133.0707980979425,11.150638056853184,-11.174302913522883,-2.9101500631034183,1.5209491572288845,2.0649948,17.997013
